lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-9.144444,38.573611,70,3939,-6.7,3.83033
-9.144444,38.573611,70,4131,-5.05,4.33557
-9.144444,38.573611,70,4371,-7.325,3.33713
-9.144444,38.573611,70,4573,-7.65,2.50599
-9.144444,38.573611,70,4995,-7.35,1.71631
-9.144444,38.573611,70,5255,-7.925,1.94698
-9.144444,38.573611,70,5667,-7.9875,1.93939
-9.144444,38.573611,70,5869,-7.775,2.27015
-9.144444,38.573611,70,6090,-7.35,1.71631
-9.144444,38.573611,70,6743,-5.9625,3.37382
-9.144444,38.573611,70,6954,-6.85,4.17544
-9.144444,38.573611,70,7203,-7.825,2.38313
-9.144444,38.573611,70,7434,-7.8875,2.36186
-9.144444,38.573611,70,7991,-7.825,1.76048
-9.138889,38.524722,2,-120,0,0
-9.138889,38.524722,2,-70,0,0
-9.138889,38.524722,2,-30,0,0
-9.138889,38.524722,2,-10,0,0
-9.138889,38.524722,2,0,-6.525,3.08255
-9.138889,38.524722,2,0,0,0
-9.138889,38.524722,2,16,-6.45,4.412
-9.138889,38.524722,2,63,-5.825,3.41917
-9.138889,38.524722,2,127,-6.175,3.881
-9.138889,38.524722,2,159,-7.325,3.98094
-9.138889,38.524722,2,174,-6.3875,3.56709
-9.138889,38.524722,2,206,-7.2625,4.00569
-9.138889,38.524722,2,222,-6.3875,4.64095
-9.138889,38.524722,2,254,-5.325,4.45221
-9.138889,38.524722,2,270,-7,4.11513
-9.138889,38.524722,2,285,-5.1375,3.94133
-9.138889,38.524722,2,317,-6.2125,3.28043
-9.138889,38.524722,2,349,-7.7375,4.15209
-9.138889,38.524722,2,444,-6.65,4.14694
-9.138889,38.524722,2,507,-5.6125,4.17388
-9.138889,38.524722,2,555,-7.6875,3.13069
-9.138889,38.524722,2,3641,-6.575,4.20365
-9.138889,38.524722,2,4186,-5,3.33038
-9.138889,38.524722,2,4730,-7.625,3.25302
-9.138889,38.524722,2,5274,-6.3125,4.42701
-9.138889,38.524722,2,5819,-6.975,4.01559
-9.138889,38.524722,2,6363,-5.4875,3.88235
-9.138889,38.524722,2,6636,-7.3625,4.96932
-9.135,38.560556,70,-120,0,0
-9.135,38.560556,70,-70,0,0
-9.135,38.560556,70,-30,0,0
-9.135,38.560556,70,-10,0,0
-9.135,38.560556,70,0,-6.5125,4.03288
-9.135,38.560556,70,0,0,0
-9.135,38.560556,70,136,-5.275,3.61179
-9.135,38.560556,70,256,-6.5875,4.53162
-9.135,38.560556,70,307,-5.6125,4.8637
-9.135,38.560556,70,478,-6.125,4.60147
-9.135,38.560556,70,785,-3.5625,3.08773
-9.135,38.560556,70,819,-7.55,3.10484
-9.135,38.560556,70,1661,-7.825,1.63336
-9.135,38.560556,70,2077,-7.55,1.69958
-9.135,38.560556,70,2285,-7.7,2.57793
-9.135,38.560556,70,2701,-6.3875,1.21118
-9.135,38.560556,70,3117,-7.55,1.69958
-9.135,38.560556,70,3533,-5.1625,2.62566
-9.135,38.560556,70,3780,-4.825,2.64562
-9.135,38.560556,70,8398,-4.65,4.95552
-9.135,38.560556,70,9198,-9.4,3.77359
-9.135,38.560556,70,10024,-10,3.56571
-9.135,38.560556,70,10850,-9.5125,3.83757
-9.135,38.560556,70,10903,-9.5625,2.61858
-9.135,38.560556,70,11263,-7.5375,5.76738
-9.135,38.560556,70,11485,-9.9,2.02132
-8.845833,37.979167,5,-120,0,0
-8.845833,37.979167,5,-70,0,0
-8.845833,37.979167,5,-30,0,0
-8.845833,37.979167,5,-10,0,0
-8.845833,37.979167,5,0,0,0
-8.845833,37.979167,5,1719,-5.9125,3.98549
-8.845833,37.979167,5,1827,-5.6875,3.64591
-8.845833,37.979167,5,1934,-6.6125,3.84687
-8.845833,37.979167,5,2042,-5.3,4.07221
-8.845833,37.979167,5,2150,-6.1875,3.89595
-8.845833,37.979167,5,2258,-5.125,3.20613
-8.845833,37.979167,5,2365,-4.4375,3.99783
-8.845833,37.979167,5,2473,-6.475,4.56188
-8.845833,37.979167,5,2581,-5.975,4.03476
-8.845833,37.979167,5,2689,-6.475,4.58811
